Send Rates,Block Size,Avg Latency,Throughput
65.3,410,1.24,60.9
65.3,420,1.24,61.2
65.3,430,1.24,60.5
65.2,440,1.26,61.3
65.3,450,1.23,60.9
65.2,460,1.25,61.5
65.3,470,1.24,60.6
65.3,480,1.25,60.9
65.3,490,1.22,60.8
65.3,500,1.25,61.3
65.3,510,1.22,61.2
65.3,520,1.23,61
65.3,530,1.24,60.7
65.3,540,1.23,60.6
65.2,550,1.24,60.7
65.3,560,1.24,61.1
65.3,570,1.24,60.9
65.3,580,1.21,60.8
65.3,590,1.24,61.1
65.3,600,1.23,60.8
65.3,610,1.25,60.9
65.3,620,1.26,61.4
65.3,630,1.26,60.7
65.3,640,1.25,61.2
65.3,650,1.28,60.9
65.3,660,1.26,61.4
65.3,670,1.24,60.7
65.3,680,1.3,60.8
65.3,690,1.29,61.3
65.2,700,1.29,60.9
65.2,710,1.27,61.1
65.3,720,1.27,61
65.3,730,1.26,61
65.3,740,1.27,60.7
65.3,750,1.26,60.8
65.2,760,1.24,61.4
65.3,770,1.21,60.8
65.3,780,1.23,61.2
65.3,790,1.23,60.6
65.3,800,1.26,61.2
70.3,10,0.14,61.7
70.3,20,0.16,70.1
70.3,30,0.27,61.7
70.2,40,0.34,69.9
70.3,50,0.43,70
70.1,60,0.62,63.1
70.3,70,0.65,62.1
70.3,80,0.74,63.1
70.3,90,0.8,61.6
70.3,100,0.88,69.6
70.3,110,1,61.5
70.3,120,1.18,63.1
70.3,130,1.08,61.3
70.2,140,1.1,61.7
70.3,150,1.11,61.3
70.3,160,1.11,69.6
70.3,170,1.12,61.5
70.3,180,1.08,69.7
70.2,190,1.06,69.7
70.3,200,1.09,69.8
70.2,210,1.11,61.3
70.3,220,1.06,69.7
70.2,230,1.09,61.4
70.2,240,1.1,61.3
70.3,250,1.05,69.6
70.2,260,1.08,69.9
70.2,270,1.09,61.4
70.4,280,1.08,61.5
70.3,290,1.07,61.4
70.3,300,1.07,61.3
70.3,310,1.1,61.6
70.4,320,1.1,61.3
70.3,330,1.07,69.4
70.3,340,1.09,61.3
70.2,350,1.08,61.5
70.3,360,1.05,61.3
70.4,370,1.07,69.7
70.3,380,1.09,61.4
70.3,390,1.11,61.4
70.3,400,1.07,69.5
70.3,410,1.1,61.6
70.3,420,1.09,61.7
70.3,430,1.08,61.2
70.2,440,1.1,61.4
70.3,450,1.08,61.3
70.3,460,1.06,69.7
70.3,470,1.07,61.3
70.3,480,1.09,61.4
70.3,490,1.1,61.2
70.3,500,1.07,61.6
70.3,510,1.06,61.3
70.3,520,1.07,61.3
70.3,530,1.11,61.6
70.2,540,1.1,61.6
